stt,question,reference,answer_A,rouge_l_A,answer_B,rouge_l_B,answer_C,rouge_l_C,answer_D,rouge_l_D
30,Nguyên nhân gây Tiêu chảy cấp tính và mạn tính là gì?,"Cấp tính: Nhiễm virus (rotavirus, norovirus); Nhiễm vi khuẩn (salmonella, shigella, E. coli, C. difficile); Nhiễm ký sinh trùng (giardia, entamoeba hi","Tiêu chảy cấp tính thường do vi khuẩn (như Salmonella hoặc Shigella), virus (như norovirus hay rotavirus) hoặc các nguyên tố tự nhiên như thức ăn bị ẩ",0.3162,"Tiêu chảy cấp tính:

- Nhiễm virus (Norovirus, Rotavirus)
- Nhiễm vi khuẩn (E.coli, Salmonella, Shigella)
- Nhiễm ký sinh trùng (Giardia)
- Ngộ độc th",0.6493,"Tiêu chảy cấp tính do vi khuẩn (như Salmonella hoặc Shigella), virus, ký sinh trùng hoặc thức ăn nhiễm độc; mạn tính thường liên quan đến bệnh Crohn's",0.3511,"Tiêu chảy cấp tính do các yếu tố như nhiễm virus, vi khuẩn, ký sinh trùng, ngộ độc thực phẩm, thức ăn ôi thiu hoặc tác dụng phụ của thuốc; còn mạn tín",0.4786
31,Thuốc thường dùng để điều trị Tiêu chảy gồm những gì?,Dung dịch bù nước và điện giải (ORS); Thuốc kháng sinh khi có nhiễm khuẩn theo chỉ định; Thuốc chống ký sinh trùng; Probiotic hỗ trợ hệ vi sinh; Loper,"Thuốc thường dùng để điều trị tiêu chảy bao gồm:

1. Thuốc giảm đau: Diclofen (điều chỉnh nhịp tim) hoặc Paracetamol.

2. Thuốc chống viêm: Ibuprofen ",0.3028,"+ ORS/Oresol,
+ Loperamide,
+ Diphenoxylate,
+ Codeine phosphat,
+ Psyllium hoặc methylcellulose,
+ Cao lanh, pectin, attapulgit hoạt hóa,
+ Eluxadoli",0.2545,"Đây có thể là thuốc kháng sinh (nếu nguyên nhân do vi khuẩn), chống viêm hoặc giảm đau, và trong một số trường hợp, cần bổ sung vitamin B12 nếu thiếu ",0.352,"Dung dịch bù nước và điện giải đường uống ORS/Oresol, truyền dịch natri clorua, kali clorua, glucose khi tiêu chảy nặng, Loperamide, Diphenoxylate, Co",0.4063
32,Viêm phổi là gì?,"Viêm phổi là tình trạng nhiễm trùng nhu mô phổi (sưng) bao gồm phế nang, túi phế nang, ống phế nang, tổ chức liên kết khe kẽ và tiểu phế quản tận cùng","Viêm phổi là một tình trạng sức khỏe nghiêm trọng khi cơ quan hô hấp bị tổn thương do vi khuẩn, virus hoặc các yếu tố khác gây ra. Các triệu chứng thư",0.3394,"Viêm phổi là một tình trạng nhiễm trùng ở nhu mô phổi (bên trong phổi), thường do vi khuẩn, virus hay nấm gây ra. Các triệu chứng phổ biến bao gồm ho,",0.4023,"Viêm phổi là tình trạng viêm nhiễm ở niêm mạc phế quản và phổi gây ra các triệu chứng như ho, sốt, đau ngực và khó thở.",0.4098,"Viêm phổi là tình trạng viêm nhiễm của nhu mô phổi bao gồm phế nang, túi phế nang, ống phế nang, tổ chức liên kết khe kẽ và tiểu phế quản tận cùng.",0.7077
33,Triệu chứng của Suy thận gồm những gì?,"Mệt mỏi, suy nhược; Buồn nôn, nôn; Chán ăn; Rối loạn giấc ngủ; Tiểu bất thường (ít, nhiều, tiểu đêm); Nước tiểu có bọt hoặc có máu; Phù chân, tay, mặt","Suy thận có thể gây ra các triệu chứng như:

1. Khó thở hoặc khó thở khi nằm ngửa.
2. Đau bụng dưới (đây thường là dấu hiệu cảnh báo).
3. Mệt mỏi và s",0.2629,"- Mệt mỏi, suy nhược  
- Buồn nôn, nôn  
- Chán ăn  
- Rối loạn giấc ngủ  
- Tiểu bất thường (ít, nhiều, tiểu đêm)  
- Nước tiểu có bọt hoặc có máu  
",0.8764,"Khó thở, mệt mỏi, sụt cân bất thường, táo bón, đau lưng, sốt cao và giảm khả năng tập trung hoặc đi vệ sinh ít lần trong ngày.",0.3279,"- Mệt mỏi, suy nhược
- Chán ăn, buồn nôn, nôn
- Tiêu chảy hoặc tiêu chảy bất thường 
- Thấy mảng trắng nhỏ trên phân
- Có thể thấy các triệu chứng về ",0.402
34,Suy tim là gì?,"Suy tim là tình trạng tim không đủ khả năng bơm máu để đáp ứng nhu cầu hoạt động của cơ thể. Đây là hậu quả cuối cùng của nhiều bệnh tim mạch, làm giả","""Suy tim"" trong y học thường được hiểu là tình trạng suy giảm chức năng của các cơ quan tim (như gan, thận) hoặc cả hai cùng lúc. Đây có thể là một tr",0.3805,"Suy tim là tình trạng tim không đủ khả năng bơm máu để đáp ứng nhu cầu hoạt động của cơ thể. Đây là hậu quả cuối cùng của nhiều bệnh tim mạch, làm giả",0.8324,"Suy tim là tình trạng chức năng thận trái suy giảm hoặc mất đi hoàn toàn, dẫn đến thiếu máu và các triệu chứng như khó thở, mệt mỏi và yếu cơ thể.",0.3377,"Suy tim là tình trạng tim không đủ khả năng bơm máu để đáp ứng nhu cầu hoạt động của cơ thể, dẫn đến thiếu oxy và dưỡng chất cho các cơ quan, gây các ",0.5276
35,Thuốc thường dùng để điều trị Viêm dạ dày gồm những gì?,"Thuốc kháng sinh diệt vi khuẩn HP (phối hợp nhóm Imidazol và các nhóm khác); Thuốc kháng acid dịch vị (trung hòa acid, giảm đau nhanh); Thuốc ức chế b","Thuốc thường được sử dụng trong điều trị viêm dạ dày bao gồm:

1. Thuốc kháng acid: Esomeprazole, Omeprazole

2. Thuốc chống viêm: Metronidazol, Clari",0.2424,"Thuốc thường dùng để điều trị viêm dạ dày:

1. Thuốc ức chế bơm proton (PPI): Omeprazole, Esomeprazole
2. Thuốc chèn H2: Famotidine
3. Thuốc kháng aci",0.2651,"Thuốc có thể bao gồm kháng acid (Erosive Gastritis), proton pump inhibitor (PPI) hoặc H2 receptor antagonist (H2RA).",0.2195,"OMEPRAZOLE, ESOMEPRAZOLE, FAMOTIDINE, OXTALOXIDE, AMLOXICIN, ENEOCLAST, PPI, CHLORPHENIRAMYL, DOLASIL, LIDOACETIC, ALCOHOL, NSAID, TRIMETHOPRINTONE, S",0.0155
36,Biến chứng của Táo bón là gì?,"Viêm trực tràng; Trĩ nội; Trĩ ngoại; Nứt kẽ hậu môn; Sa trực tràng; Nguy cơ ung thư đại tràng (hiếm, kéo dài)","Biến chứng của táo bón có thể bao gồm: đau bụng, tiêu chảy, mất nước do nôn mửa, rối loạn nhịp tim, thậm chí suy kiệt nếu tình trạng kéo dài và nghiêm",0.2708,"Biến chứng của Táo bón chủ yếu liên quan đến việc giảm tần suất đi đại tiện và sự thô cứng của phân. Các vấn đề tiềm ẩn khác có thể xuất hiện như:

1.",0.1605,"Đau bụng, chảy máu, sưng vùng hậu môn và viêm đại tràng.",0.3103,"Đây là câu hỏi về các tác hại tiềm ẩn mà bệnh táo bón có thể gây ra cho cơ thể như viêm loét niêm mạc hậu môn, sưng u tại chỗ, thậm chí nhiễm trùng ng",0.3091
37,Cách chăm sóc và điều trị ban đầu cho Viêm phổi là gì?,"Nghỉ ngơi đầy đủ, vận động hợp lý; Uống nhiều nước để làm loãng đờm; Giữ ấm cơ thể, đặc biệt vùng cổ và ngực; Vệ sinh mũi họng bằng nước muối sinh lý","Để giúp bạn quản lý và điều trị viêm phổi hiệu quả:

1. Nên nghỉ ngơi nhiều hơn.
2. Hạn chế tiếp xúc với người khác để giảm khả năng lây nhiễm.
3. Sử ",0.2365,"Để chăm sóc và điều trị ban đầu cho Viêm phổi, bạn nên thực hiện các phương pháp sau:

1. **Lifestyle**: Nghiên cứu về việc nghỉ ngơi đầy đủ để hồi ph",0.2206,"Điều trị bằng thuốc kháng sinh theo chỉ định của bác sĩ, nghỉ ngơi đầy đủ, dùng thức ăn giàu protein để hỗ trợ hồi phục cơ quan hô hấp.",0.2697,"Đây là những phương pháp cần thực hiện ngay từ khi phát hiện bệnh: nghỉ ngơi đầy đủ, uống nhiều nước để làm loãng đờm, giữ ấm cơ thể, đặc biệt vùng cổ",0.7434
38,Cách chăm sóc và điều trị ban đầu cho Mất ngủ là gì?,"Duy trì giờ ngủ cố định; Tập thể dục đều đặn; Tránh thiết bị điện tử trước ngủ; Tạo môi trường ngủ yên tĩnh, tối và mát; Hạn chế ngủ trưa dài; Giảm st","Để cải thiện tình trạng mất ngủ, bạn có thể thử các phương pháp sau:

1. Tạo thói quen đi ngủ: Đặt lịch ngủ vào mỗi đêm và cố gắng theo nó.
2. Xây dựn",0.2833,"Để giúp bạn hiểu rõ hơn về cách chăm sóc và điều trị ban đầu cho Mất ngủ, tôi sẽ tổng hợp các phương pháp được đề cập trong các tài liệu:

1. **Lifest",0.2751,"Chăm sóc bao gồm tạo thói quen đi ngủ lành mạnh như ngủ trước 10 giờ đêm, giảm caffeine và tránh thức khuya. Điều trị ban đầu thường bao gồm việc làm ",0.2635,"Đầu tiên, người bệnh cần thực hiện các phương pháp điều trị như tăng cường luyện tập thể thao, duy trì lịch作息 ổn định, tránh xa chất kích thích và giả",0.3206
39,Cách chăm sóc và điều trị ban đầu cho Mất ngủ là gì?,"Duy trì giờ ngủ cố định; Hạn chế thiết bị điện tử trước ngủ; Tập thể dục nhẹ nhàng; Thiền, yoga, thư giãn; Ngâm chân nước ấm; Tối ưu môi trường ngủ yê","Để cải thiện tình trạng mất ngủ, bạn có thể thử các phương pháp sau:

1. Tạo thói quen đi ngủ: Đặt lịch ngủ vào mỗi đêm và cố gắng theo nó.
2. Xây dựn",0.2544,"Để giúp bạn hiểu rõ hơn về cách chăm sóc và điều trị ban đầu cho Mất ngủ, tôi sẽ tổng hợp các phương pháp được đề cập trong các tài liệu:

1. **Lifest",0.273,"Chăm sóc bao gồm tạo thói quen đi ngủ lành mạnh như ngủ trước 10 giờ đêm, giảm caffeine và tránh thức khuya. Điều trị ban đầu thường bao gồm việc làm ",0.271,"Đầu tiên, người bệnh cần thực hiện các phương pháp điều trị như tăng cường luyện tập thể thao, duy trì lịch作息 ổn định, tránh xa chất kích thích và giả",0.3193
40,Cách chăm sóc và điều trị ban đầu cho Suy thận là gì?,"Kiểm soát huyết áp và đường huyết; Chế độ ăn giảm muối, giảm đạm; Uống đủ nước theo hướng dẫn; Tập thể dục đều đặn; Không hút thuốc lá; Duy trì cân nặ","Để chăm sóc và điều trị ban đầu cho suy thận:

1. Kiểm tra sức khỏe định kỳ:定期检查肾功能，监测病情变化。

2. Chế độ ăn uống cân đối:饮食中应包含足够的蛋白质、维生素和矿物质，并限制盐分摄入。

",0.2511,"Để chăm sóc và điều trị ban đầu cho Suy thận, theo các tài liệu được cung cấp:

1. Phát hiện sớm giúp làm chậm tiến triển bệnh.
2. Kiểm soát bệnh nền ",0.2291,"Điều chỉnh chế độ ăn uống hợp lý, dùng thuốc bổ thận theo chỉ định của bác sĩ, giảm stress và duy trì hoạt động thể chất适量.",0.2889,"Điều chỉnh chế độ dinh dưỡng, kiểm soát bệnh nền, thực hành sinh hoạt lành mạnh như vận động, nghỉ ngơi đầy đủ, uống nước thường xuyên và tuân thủ the",0.3178
41,Nguồn thông tin chính về Ho nhiều từ đâu?,Nguồn: Medlatec. Tham khảo: https://medlatec.vn/tin-tuc/ho-nhieu-la-dau-hieu-canh-bao-nhung-benh-gi-s195-n18155,"Nếu bạn đang tìm kiếm nguồn thông tin chính về ho (cough), có thể bạn muốn xem xét các nghiên cứu khoa học hoặc bài báo của các nhà vi sinh vật học và",0.0491,"Nguyên nguồn thông tin chính về ""Ho nhiều"" được cung cấp trong bài viết số 1 (Tài liệu 1) thuộc lĩnh vực Y học. Bài viết này cung cấp định nghĩa chi t",0.0633,"Thông tin chính có thể tìm thấy trên các trang web của Tổ chức Y tế Thế giới (WHO), Bệnh viện Cleveland Clinic và các chuyên gia y tế uy tín khác.",0.0571,Thông tin chính được cung cấp từ Tài liệu 1 (Mediatec).,0.0513
42,Những lưu ý quan trọng khi xử trí Mất ngủ là gì?,Mất ngủ thường do nhiều nguyên nhân phối hợp; Ưu tiên điều chỉnh lối sống trước khi dùng thuốc; Không tự ý sử dụng thuốc ngủ kéo dài; CBT-I là phương ,"Khi xử trí mất ngủ, bạn nên:

1. Xây dựng thói quen sinh hoạt hàng ngày đều đặn.
2. Giúp cơ thể thích nghi với các giờ giấc khác nhau của ngày.
3. Tạo",0.2638,"+ Lifestyle: 
- Thiết lập giờ ngủ cố định
- Giảm căng thẳng bằng các phương pháp như thiền, yoga
- Hạn chế việc sử dụng thiết bị điện tử trước khi đi ",0.232,"Điều chỉnh thói quen sinh hoạt hợp lý (đúng giờ đi ngủ và thức dậy), giảm stress, tập thể dục đều đặn, hạn chế caffeine và酒精 vào buổi tối, tìm cách th",0.2899,"- Cần duy trì lịch作息 cố định;
- Nâng cao chất lượng giấc ngủ bằng cách giảm tác dụng phụ của các loại thuốc như cafein, rượu bia, nicotine; 
- Thực hi",0.2941
43,Viêm dạ dày là gì?,"Viêm dạ dày là tình trạng niêm mạc dạ dày bị tổn thương, gây sưng hoặc viêm. Bệnh có thể xảy ra bất ngờ (cấp tính) hoặc diễn ra âm ỉ (mãn tính), gây r",Viêm dạ dày xảy ra khi lớp màng bên trong của ruột (dạ dày) bị tổn thương và viêm nhiễm do acid trong máu. Nguyên nhân thường liên quan đến việc tiêu ,0.3562,"Viêm dạ dày là tình trạng niêm mạc dạ dày bị tổn thương, gây sưng hoặc viêm. Bệnh có thể xảy ra bất ngờ (cấp tính) hoặc diễn ra âm ỉ (mãn tính), gây r",1.0,"Đau ở vùng bụng dưới kéo dài từ 3-6 ngày, có thể kèm buồn nôn hoặc sốt.",0.2149,"Viêm dạ dày là tình trạng niêm mạc dạ dày bị tổn thương, gây sưng hoặc viêm. Nó có thể xảy ra cấp tính hoặc mạn tính và gây ra nhiều triệu chứng như đ",0.7108
44,Nguồn thông tin chính về Tăng huyết áp từ đâu?,Nguồn: Nhà thuốc Long Châu. Tham khảo: https://nhathuoclongchau.com.vn/benh/tang-huyet-ap.html,"Nếu bạn đang tìm kiếm nguồn thông tin chính xác về tăng huyết áp, có thể xem các trang web của Tổ chức Y tế Thế giới (WHO), Hiệp hội Y học Mỹ (AHA) ho",0.137,"Số liệu 1: [Tài liệu 1]  
Số liệu 2: [Tài liệu 2]  
Số liệu 3: [Tài liệu 3]  
Số liệu 4: [Tài liệu 4]  
Số liệu 5: [Tài liệu 5]

Trong số các nguồn th",0.0971,"Thông tin chính thức đến từ các tổ chức y tế như WHO (World Health Organization), CDC (Centers for Disease Control and Prevention) và các cơ sở y tế c",0.1034,Sách giáo trình của nhà thuốc Long Châu.,0.3529
45,Làm thế nào để phòng ngừa Trầm cảm?,Hỗ trợ tâm lý kịp thời khi gặp sang chấn; Duy trì môi trường sống tích cực; Giảm áp lực học tập và công việc; Phát hiện sớm dấu hiệu trầm cảm; Khám ch,"Trên thực tế, tôi không có khả năng cung cấp tư vấn y tế chuyên sâu hoặc hướng dẫn cụ thể về cách phòng ngừa trầm cảm. Tuy nhiên, một số gợi ý cho việ",0.2587,"Trên các tài liệu về phòng tránh trầm cảm được liệt kê một số cách:

1. **Rửa tay thường xuyên**: Sử dụng xà phòng để giảm nguy cơ lây nhiễm vi-rút từ",0.2139,"Phòng ngừa bằng việc duy trì tâm trạng tích cực, tập thể dục đều đặn, ăn uống lành mạnh và có chế độ ngủ đủ giấc.",0.35,"Phòng ngừa trầm cảm cần tập trung vào việc duy trì một lối sống lành mạnh như tăng cường hoạt động thể chất, cải thiện hệ thống miễn dịch, giảm stress",0.28
46,Phân loại của Suy thận như thế nào?,Suy thận cấp; Suy thận mạn; Giai đoạn 1 CKD; Giai đoạn 2 CKD; Giai đoạn 3a CKD; Giai đoạn 3b CKD; Giai đoạn 4 CKD; Giai đoạn 5 CKD (giai đoạn cuối),"Suy thận có thể được phân loại dựa trên mức độ suy giảm và nguyên nhân gây ra. Một số dạng chính thường gặp bao gồm:

1. Suy thận mạn tính: Tình trạng",0.1818,Suy thận được phân loại dựa trên mức độ suy giảm chức năng thận và tình trạng sức khỏe tổng quát của người bệnh. Một số tiêu chuẩn phổ biến cho phân l,0.1368,"Suy thận có 3 cấp độ: mạn tính (mức nặng), tiến triển và hồi phục.",0.3188,Suy thận được phân loại thành 3 cấp độ từ nhẹ đến nặng dựa trên mức độ giảm lọc máu và triệu chứng xuất hiện.,0.2143
47,Nguồn thông tin chính về Táo bón từ đâu?,Nguồn: Nhà thuốc Long Châu. Tham khảo: https://nhathuoclongchau.com.vn/benh/tao-bon-246.html,"Thông tin về bệnh táo bón thường được tìm kiếm trên các trang web của WHO (World Health Organization), CDC (Centers for Disease Control and Prevention",0.0833,"Nguyên nguồn thông tin chính về Táo bón từ các tài liệu là:

1. Tài liệu 1: ""Bệnh: Táo bón"" của Vinmec.
2. Tài liệu 2: ""Bệnh: Táo bón"" của Bệnh viện Đ",0.1006,"Thông tin chính thức đến từ các cơ quan y tế như WHO và CDC trong thế giới thực, cùng với các nghiên cứu khoa học uy tín.",0.1311,Sách 1 của nhà xuất bản Vinmec.,0.0645
48,Khi nào cần đi khám bác sĩ nếu bị Rối loạn lo âu?,Lo âu kéo dài trên 6 tháng; Cơn hoảng sợ tái diễn; Ảnh hưởng nghiêm trọng đến sinh hoạt; Khó ngủ kéo dài; Có hành vi cưỡng chế hoặc ám ảnh mạnh; Kèm t,"Nếu bạn gặp các triệu chứng sau, nên đi khám bác sĩ:

1. Lo lắng kéo dài hơn 6 tháng.
2. Có suy nghĩ tự tử hoặc tự pha tinh.
3. Đau đầu, mệt mỏi thườn",0.319,"- Lo âu kéo dài trên 6 tháng  
- Cơn hoang sợ tái diễn  
- Án hổng nghiêm trọng đến sinh hoạt  
- Khô nóng kéo dài  
- Có hành vi cưỡng chế hoặc ám ản",0.3488,"Nếu cảm thấy khó chịu kéo dài hơn 6 tháng hoặc có triệu chứng như rối loạn giấc ngủ, ăn uống tiêu cực, mất tập trung, hoảng loạn hay tự sát.",0.3448,"Người bệnh cần đi khám bác sĩ khi tình trạng lo âu kéo dài hơn 6 tháng, xuất hiện các cơn hoang mang như tim đập nhanh, đau ngực, mất ngủ kéo dài, có ",0.4156
49,Đặc điểm dịch tễ của Suy tim là gì?,Là bệnh tim mạch phổ biến; Tỷ lệ tăng theo tuổi; Liên quan đến tăng huyết áp và bệnh mạch vành; Có xu hướng gia tăng trong cộng đồng; Ảnh hưởng lớn đế,"Dịch tợ (dịch tiết) của suy tim có thể bao gồm các triệu chứng như:

1. Khó thở: Thường xuyên hoặc thường xuyên hơn.
2. Đau ngực: Có thể xuất hiện ở m",0.2488,"Dịch tợ của Suy tim bao gồm:

- Tim không đủ khả năng bơm máu để đáp ứng nhu cầu hoạt động của cơ thể.
- Tình trạng này xảy ra khi tim không còn đủ kh",0.2473,"Suy tim có thể xuất hiện ở mọi độ tuổi và nguyên nhân đa dạng như đái tháo đường, bệnh mạch máu, viêm cơ tim hoặc tăng huyết áp kéo dài.",0.297,Suy tim có thể xuất hiện ở mọi độ tuổi nhưng phổ biến nhất là người già (từ 70 tuổi trở lên).,0.2824
50,Những lưu ý quan trọng khi xử trí Viêm xoang (Viêm mũi xoang) là gì?,Sử dụng thuốc kháng sinh phải có sự hướng dẫn của bác sĩ chuyên khoa để tránh kháng thuốc.; Bệnh khó kiểm soát nếu yếu tố dị ứng vẫn tồn tại trong môi,"- Nên dùng thuốc giảm đau và chống viêm theo chỉ định của bác sĩ.
- Cần tránh sử dụng chất kích thích như rượu bia, caffeine trong thời gian điều trị.",0.3154,"Lưu ý quan trọng khi xử trí viêm xoang (viêm mũi xoang):

1. Nên thăm khám tại một cơ sở y tế uy tín để được tư vấn và điều trị phù hợp.

2. Sử dụng t",0.2586,Điều trị bằng thuốc kháng sinh hoặc corticosteroid theo chỉ định của bác sĩ; tránh sử dụng chất kích thích như rượu bia và tránh làm tăng áp lực cho v,0.3358,"Đây là những điểm quan trọng:

1. Cần khống chế viêm nhiễm từ sớm bằng kháng sinh hoặc corticosteroid.
2. Phẫu thuật chỉ thực hiện sau khi hết viêm ho",0.2838
